,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
176,Hotel Rwanda,2004,121 min,Drama,Terry George,Keir Pearson,Don Cheadle,"Rated PG-13 on appeal for violence, disturbing images and brief strong language","The true story of Paul Rusesabagina, a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.",608,187,"263,202",8.1
177,Platoon,1986,120 min,Drama,Oliver Stone,Oliver Stone,Charlie Sheen,R,A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,505,120,"289,995",8.1
178,Zootopia,2016,108 min,Animation,Byron Howard,Byron Howard (story by),Ginnifer Goodwin,"Rated PG for some thematic elements, rude humor and action","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",393,382,"158,528",8.2
179,The Maltese Falcon,1941,100 min,Crime,John Huston,John Huston (screenplay),Humphrey Bogart,Not Rated,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",341,157,"112,537",8.1
180,Spotlight,2015,128 min,Biography,Tom McCarthy,Josh Singer,Mark Ruffalo,Rated R for some language including sexual references,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",402,467,"187,101",8.1
181,The Wages of Fear,1953,131 min,Adventure,Henri-Georges Clouzot,Georges Arnaud (novel),Yves Montand,Not Rated,"In a decrepit South American village, men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",139,115,"35,190",8.2
182,Network,1976,121 min,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway,R,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,317,161,"102,810",8.1
183,Mad Max: Fury Road,2015,120 min,Action,George Miller,George Miller,Tom Hardy,"Rated R for intense sequences of violence throughout, and for disturbing images","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.","1,578",737,"543,832",8.1
184,Butch Cassidy and the Sundance Kid,1969,110 min,Biography,George Roy Hill,William Goldman,Paul Newman,M,Two Western bank/train robbers flee to Bolivia when the law gets too close.,309,130,"151,235",8.1
185,Shutter Island,2010,138 min,Mystery,Martin Scorsese,Laeta Kalogridis (screenplay),Leonardo DiCaprio,"Rated R for disturbing violent content, language and some nudity",A U.S Marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.,965,486,"780,240",8.1
186,The 400 Blows,1959,99 min,Crime,François Truffaut,François Truffaut (scenario),Jean-Pierre Léaud,Not Rated,"Moving story of a young boy who, left without attention, delves into a life of petty crime.",174,165,"69,800",8.1
187,Stand by Me,1986,89 min,Adventure,Rob Reiner,Stephen King (novel),Wil Wheaton,R,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",581,98,"269,862",8.1
188,In the Name of the Father,1993,133 min,Biography,Jim Sheridan,"Gerry Conlon (autobiographical book ""Proved Innocent"")",Daniel Day-Lewis,Rated R for language and politically-geneRated violence,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,157,44,"108,901",8.1
189,12 Years a Slave,2013,134 min,Biography,Steve McQueen,John Ridley (screenplay),Chiwetel Ejiofor,"Rated R for violence/cruelty, some nudity and brief sexuality","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",696,597,"435,528",8.1
190,Persona,1966,85 min,Drama,Ingmar Bergman,Ingmar Bergman (story and screenplay),Bibi Andersson,Not Rated,A nurse is put in charge of an actress who can't talk and finds that the actress's persona is melding with hers.,167,111,"61,160",8.1
191,The Grand Budapest Hotel,2014,99 min,Adventure,Wes Anderson,Stefan Zweig (inspired by the writings of),Ralph Fiennes,"Rated R for language, some sexual content and violence","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",642,535,"470,799",8.1
192,Amores Perros,2000,154 min,Drama,Alejandro G. Iñárritu,Guillermo Arriaga (as Guillermo Arriaga Jordán),Emilio Echevarría,"Rated R for violence/gore, language and sexuality","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",361,157,"172,747",8.1
193,Million Dollar Baby,2004,132 min,Drama,Clint Eastwood,Paul Haggis (screenplay),Hilary Swank,"Rated PG-13 for violence, some disturbing images, thematic material and language",A determined woman works with a hardened boxing trainer to become a professional.,"1,106",268,"479,396",8.1
194,The Princess Bride,1987,98 min,Adventure,Rob Reiner,William Goldman (book),Cary Elwes,PG,"While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride.",717,184,"292,671",8.1
195,Relatos salvajes,2014,122 min,Comedy,Damián Szifrón,Damián Szifrón (as Damián Szifron),Darío Grandinetti,"Rated R for violence, language and brief sexuality",Six short stories that explore the extremities of human behavior involving people in distress.,131,286,"88,033",8.1
196,Ben-Hur,1959,212 min,Adventure,William Wyler,Lew Wallace (novel) (as General Lew Wallace),Charlton Heston,G,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",372,115,"159,177",8.1
197,Touch of Evil,1958,95 min,Crime,Orson Welles,Orson Welles (screenplay),Charlton Heston,Rated PG-13 for some violence and drug content,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",269,159,"72,529",8.1
198,Hachi: A Dog's Tale,2009,93 min,Drama,Lasse Hallström,Stephen P. Lindsey (screenplay),Richard Gere,G,A college professor's bond with the abandoned dog he takes into his home.,303,84,"153,485",8.1
199,Jurassic Park,1993,127 min,Adventure,Steven Spielberg,Michael Crichton (novel),Sam Neill,Rated PG-13 for intense science fiction terror,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.",892,308,"608,919",8.1
200,Nausicaä of the Valley of the Wind,1984,117 min,Animation,Hayao Miyazaki,Hayao Miyazaki (comic),Sumi Shimamoto,Rated PG for violence,Warrior/pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,181,99,"95,547",8.1
201,The Grapes of Wrath,1940,129 min,Drama,John Ford,Nunnally Johnson (screen play),Henry Fonda,Not Rated,"A poor Midwest family is forced off of their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",296,83,"62,788",8.1
202,Annie Hall,1977,93 min,Comedy,Woody Allen,Woody Allen,Woody Allen,PG,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,491,154,"191,662",8.1
203,Deadpool,2016,108 min,Action,Tim Miller,Rhett Reese,Ryan Reynolds,"Rated R for strong violence and language throughout, sexual content and graphic nudity","A former Special Forces operative turned mercenary is subjected to a rogue experiment that leaves him with accelerated healing powers, adopting the alter ego Deadpool.","1,041",576,"458,562",8.1
204,Stalker,1979,163 min,Drama,Andrei Tarkovsky,Arkadiy Strugatskiy (novel),Alisa Freyndlikh,Not Rated,A guide leads two men through an area known as the Zone to find a room that grants wishes.,295,108,"67,941",8.1
205,Before Sunrise,1995,105 min,Drama,Richard Linklater,Richard Linklater,Ethan Hawke,Rated R for some strong language,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",395,120,"181,857",8.1
206,Gandhi,1982,191 min,Biography,Richard Attenborough,John Briley,Ben Kingsley,PG,"Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.",256,95,"170,744",8.1
207,The Bourne Ultimatum,2007,115 min,Action,Paul Greengrass,Tony Gilroy (screenplay),Matt Damon,Rated PG-13 for violence and intense sequences of action,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,816,325,"485,043",8.1
208,The Truman Show,1998,103 min,Comedy,Peter Weir,Andrew Niccol,Jim Carrey,Rated PG for thematic elements and mild language,An insurance salesman/adjuster discovers his entire life is actually a television show.,875,213,"663,402",8.1
209,Diabolique,1955,116 min,Drama,Henri-Georges Clouzot,Pierre Boileau (novel) (as Boileau),Simone Signoret,Unrated,"The wife of a cruel headmaster and his mistress conspire to kill him, but after the murder is committed, his body disappears, and strange events begin to plague the two women.",150,109,"41,791",8.1
210,Memories of Murder,2003,131 min,Crime,Joon-ho Bong,Joon-ho Bong (as Joon Ho Bong),Kang-ho Song,Unrated,"In 1986, in the province of Gyunggi, in South Korea, a second young and beautiful woman is found dead, raped and tied and gagged with her underwear. Detective Park Doo-Man and Detective Cho...
                    See full summary »",134,146,"66,189",8.1
211,Donnie Darko,2001,113 min,Drama,Richard Kelly,Richard Kelly,Jake Gyllenhaal,"Rated R for language, some drug use and violence","A troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes, after narrowly escaping a bizarre accident.","2,102",283,"577,567",8.1
212,Rocky,1976,120 min,Drama,John G. Avildsen,Sylvester Stallone,Sylvester Stallone,PG,"Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect.",540,141,"372,656",8.1
213,The Revenant,2015,156 min,Adventure,Alejandro G. Iñárritu,Mark L. Smith (screenplay),Leonardo DiCaprio,"Rated R for strong frontier combat and violence including gory images, a sexual assault, language and brief nudity",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"1,177",555,"394,242",8.1
214,8½,1963,138 min,Drama,Federico Fellini,Federico Fellini (story),Marcello Mastroianni,Not Rated,A harried movie director retreats into his memories and fantasies.,220,100,"78,131",8.1
215,The Wizard of Oz,1939,102 min,Adventure,Victor Fleming,Noel Langley (screenplay),Judy Garland,Passed,Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to see the Wizard who can help her return home.,533,212,"290,314",8.1
